state,biden_votes_2020,trump_votes_2020,other_votes_2020,clinton_votes_2016,other_2016,cases_jan_2020,cases_feb_2020,cases_mar_2020,cases_apr_2020,cases_may_2020,cases_jun_2020,cases_jul_2020,cases_aug_2020,cases_sep_2020,cases_oct_2020,cases_nov_2020,cases_dec_2020,cases_jan_2021,cases_feb_2021,cases_mar_2021,cases_apr_2021,cases_may_2021,cases_jun_2021,cases_jul_2021,cases_aug_2021,cases_sep_2021,cases_oct_2021,cases_2020,deaths_jan_2020,deaths_feb_2020,deaths_mar_2020,deaths_apr_2020,deaths_may_2020,deaths_jun_2020,deaths_jul_2020,deaths_aug_2020,deaths_sep_2020,deaths_oct_2020,deaths_nov_2020,deaths_dec_2020,deaths_jan_2021,deaths_feb_2021,deaths_mar_2021,deaths_apr_2021,deaths_may_2021,deaths_jun_2021,deaths_jul_2021,deaths_aug_2021,deaths_sep_2021,deaths_oct_2021,vax_dec_2020,vax_jan_2021,vax_mar_2021,vax_apr_2021,vax_may_2021,vax_june_2021,vax_jul_2021,vax_aug_2021,vax_sep_2021,vax_oct_2021,deaths_pc_jun_2020,stay_begin,stay_end,shutdown_date_range,shutdown_length,total_population_2010,total_population_est_2019,census_fips_code,q1_gdp_2020,q2_gdp_2020,q3_gdp_2020,q4_gdp_2020,pc_income_2020,oct_2020_unemployed,drug_alc_deaths_2019,state_social_liberalism_policy,percent_women_legislature,state_econ_liberalism_policy,mass_social_liberalism_policy,mass_econ_liberalism_policy
Missouri,1253014,1718736,13007,1071068,45667,0,0,6536,144460,334500,517729,1053767,2121856,3260351,4918497,7593756,11517880,14462444,14422470,17646850,17856888,18880287,18719525,20478539,22887375,24277601,19605790,11517880,0,0,96,5056,17904,27450,35764,45188,56366,80448,105756,156027,204746,220899,271622,272820,293239,294056,312824,333486,351441,286605,79047,444384,2524827,3985417,4679514,5111580,5483549,5946002,6304426,6819845,44.72557559942047,2020-04-06,2020-05-03,27,27,5988927,6137428,29000,-0.4,-31.4,39.5,7.3,51177,0.046,2257,NA,26.4,-0.44939721128937554,0.9352790522962452,-0.5119174762056429
Montana,244786,343602,34,177709,9540,0,0,1200,11538,14576,19781,71052,177325,294470,685645,1437310,2294485,2742274,2727829,3174117,3206404,3430779,3390897,3560858,3754995,4148769,3709378,2294485,0,0,12,280,502,581,1109,2566,4277,7685,15949,25905,33867,37114,43507,45792,49497,49367,52221,54092,56324,48641,17511,104525,522897,758111,867123,940056,973506,1022081,1089630,1191797,5.436114890089429,2020-03-28,2020-04-26,29,29,989415,1068778,30000,7.7,-36.4,42.1,7.8,53329,0.05,399,NA,32,0.5345504132077394,1.1044647933306433,-0.6520721408562148
Nebraska,374583,556846,4671,284494,24826,0,151,1682,44916,305559,508068,691529,939396,1186725,1762828,3011117,4706456,5627823,5522112,6374609,6466083,6887718,6727612,7008302,7290053,7674409,6287689,4706456,0,0,13,866,3841,6926,9469,11402,13519,17393,25072,44491,58504,59554,69535,69884,74097,75464,78566,79542,78758,62440,27487,177711,940837,1412904,1694344,1865625,1941405,2065945,2169872,2336339,35.8042357144925,1970-01-01,1970-01-01,0,0,1826341,1934408,31000,4.6,-32.4,43,17.4,57942,0.03,451,NA,26.5,-0.28946194762925875,0.8358732970289552,-0.5268586423087316
Nevada,703486,669890,17217,539260,36683,0,0,6859,97660,213197,365782,1014765,1877885,2237427,2776684,3718323,5978140,7965448,8055483,9280577,9288702,9932591,9850974,10649854,11587313,12208561,10041990,5978140,0,0,123,4029,10678,14008,19854,33381,44410,52598,58319,81970,115094,131402,158868,160769,171433,169031,178826,192002,204249,168955,25645,241078,1348526,2051105,2510235,2776098,2965093,3206423,3397599,3648724,45.47821603840844,2020-04-01,2020-05-15,44,44,2700551,3080156,32000,-5,-47.3,53.3,7.1,53635,0.119,1236,NA,60.3,-1.1450636828879917,2.0636950930443736,-0.5281731722603445
New Hampshire,424921,365654,2372,348526,19203,0,0,2232,36795,109009,159771,190987,215935,233082,296949,458040,1021905,1735195,1985787,2460709,2708090,3019160,2974742,3098482,3215480,3404313,2901373,1021905,0,0,17,1009,5085,9573,12246,13146,13080,14313,15030,19497,28267,31580,37340,38007,41227,40894,42775,43337,43515,34712,25364,128313,614984,1142049,1385761,1515365,1591970,1685080,1753412,1915934,70.40466687406368,2020-03-27,2020-06-15,80,80,1316470,1359711,33000,6.5,-35.4,44.6,6.5,66418,0.042,623,NA,36.1,0.5721948590919392,2.5719992627909147,-0.3198245402538578
New Jersey,2608335,1883274,26067,2148278,51358,0,0,92534,2186635,4470485,5021309,5527830,5859177,5995211,6855288,8546314,12848523,18984348,20883236,26273580,28947165,31313182,30603097,31904594,32979088,33745664,26990951,12848523,0,0,1165,102708,308935,388821,482461,492942,481278,502729,498695,557416,630500,628766,742393,751552,804082,790451,822482,828228,814244,635702,78838,795440,4381035,7302231,9110414,9841494,10380457,11005081,11535180,12334361,437.7535270017868,2020-03-21,2020-06-09,80,80,8791894,8882190,34000,-6.6,-33.3,37,6.4,75245,0.08,3565,NA,30.8,1.5027353706548177,2.487685263120932,0.023407118440524493
New Mexico,501614,401894,7872,385234,18877,0,0,1989,49429,177992,298314,504146,721859,815678,1131556,2072561,3813148,4991706,5048984,5848479,5839619,6223294,6131935,6429934,6841620,7291633,6005741,3813148,0,0,16,1472,7739,13155,17513,22130,24979,28959,37834,63226,90117,98616,119627,119965,128532,129264,135661,138220,139685,112605,30528,264147,1258002,1794170,2151860,2380294,2487536,2642572,2786048,2829415,62.73759090512388,NA,NA,NA,NA,2059179,2096829,35000,-7.6,-37.1,44.6,9.2,45803,0.081,1361,NA,42.9,0.4173493013189622,1.1827502059434793,-0.32217327588391786
New York,5230985,3244798,125718,4556124,249828,0,0,464981,6328973,10850463,11656829,12690287,13329072,13535662,15087402,17164028,25200181,37745985,43099222,54454687,59253950,64496523,63238276,65884090,68483089,70557009,57065800,25200181,0,0,7943,425198,854088,918476,995461,1005469,979548,1021540,1007246,1105629,1251962,1271183,1505538,1526199,1623284,1589190,1648582,1658937,1631282,1272929,198125,1875462,9261975,15636609,19672244,21790497,22950250,24370206,25924474,27632406,472.1377232682489,2020-03-20,2020-06-27,99,99,19378102,19453561,36000,-13.2,-25.4,31.6,8.1,75548,0.092,5395,NA,34.3,2.843128999273216,2.512113021598644,0.10160003860358603
North Carolina,2684292,2758773,33059,2189316,59491,0,0,8617,168317,573602,1381996,2908111,4509937,5679982,7503763,9508648,14063411,20473574,22968245,27560439,28272382,30680265,30288889,31821122,34867036,39419142,33039133,14063411,0,0,32,4804,20390,34879,50375,73585,94769,122389,145747,187486,249200,293583,364351,371770,400036,399352,419581,433188,464176,396553,88874,951657,4691515,6981220,8155949,9264654,9722902,10467556,11311513,12392745,33.255835860963735,2020-03-30,2020-05-22,53,53,9535483,10488084,37000,1.8,-32.7,38.8,7,50086,0.062,3554,NA,26.5,-0.5724177918000559,0.769678416012835,-0.40419139648514724
North Dakota,114902,235595,1929,93758,12374,0,0,787,14825,57787,93310,149692,273194,496720,969332,1905017,2721037,2960827,2765345,3140564,3162573,3379946,3313947,3442736,3532487,3733395,3194367,2721037,0,0,9,296,1330,2366,2956,3967,5601,11976,22471,36093,43079,40906,46128,45237,47551,46566,48523,48958,48451,38906,15958,97915,413386,562151,614543,641906,663565,697759,742416,803404,31.04734260466996,1970-01-01,1970-01-01,0,0,672591,762062,38000,-20.5,-39.7,52,16.2,59388,0.047,244,NA,22.7,-2.1064403994630982,0.626537281529628,-0.5449087215916661
